latitude,longitude,bright_ti4,bright_ti5,thermal_difference,frp,frp_log,confidence_score,hour,day_of_week,day_of_year,detection_count,days_detected,avg_frp,max_frp,persistence
8.75016,78.08366,337.4,300.03,37.370000000000005,6.22,1.9768549529047348,0.66,8,5,241,1,1,6.22,6.22,Transient
8.75985,77.6738,337.27,304.89,32.379999999999995,1.58,0.9477893989335261,0.66,8,5,241,1,1,1.58,1.58,Transient
8.84902,80.38763,329.71,295.76,33.94999999999999,3.26,1.449269160281279,0.66,8,5,241,2,2,5.95,8.64,Transient
8.85074,80.42461,336.56,295.28,41.28000000000003,3.26,1.449269160281279,0.66,8,5,241,1,1,3.26,3.26,Transient
8.8745,77.98587,338.37,303.04,35.329999999999984,5.31,1.8421356765531218,0.66,8,5,241,1,1,5.31,5.31,Transient
8.91108,80.4406,346.56,289.26,57.30000000000001,9.58,2.3589654264301534,0.66,8,5,241,2,2,9.205,9.58,Transient
8.91688,80.43262,328.96,286.75,42.20999999999998,2.84,1.3454723665996355,0.66,8,5,241,5,4,8.476,18.71,Recurring
8.93593,80.3884,335.47,294.54,40.93000000000001,4.35,1.6770965609079151,0.66,8,5,241,2,1,5.015,5.68,Transient
8.93651,80.39246,333.11,295.95,37.160000000000025,5.68,1.8991179875485542,0.66,8,5,241,2,1,5.015,5.68,Transient
8.96052,77.90134,337.09,300.26,36.829999999999984,2.91,1.3635373739972745,0.66,8,5,241,1,1,2.91,2.91,Transient
9.02114,80.17536,335.22,287.78,47.440000000000055,6.05,1.9530276168241774,0.66,8,5,241,2,2,6.37,6.69,Transient
9.17868,80.46647,337.39,289.77,47.620000000000005,8.73,2.2752138961979136,0.66,8,5,241,2,1,8.73,8.73,Transient
9.17927,80.47058,336.15,291.03,45.120000000000005,8.73,2.2752138961979136,0.66,8,5,241,2,1,8.73,8.73,Transient
9.24698,80.31161,332.78,285.66,47.11999999999995,4.14,1.6370530794670737,0.66,8,5,241,1,1,4.14,4.14,Transient
9.39508,80.46182,332.28,279.8,52.47999999999996,3.77,1.5623463049002497,0.66,8,5,241,10,5,9.654,12.91,Recurring
9.41414,80.44216,334.1,276.82,57.28000000000003,5.16,1.8180767775454285,0.66,8,5,241,1,1,5.16,5.16,Transient
9.42272,78.75917,331.63,290.73,40.89999999999998,3.76,1.5602476682433286,0.66,8,5,241,1,1,3.76,3.76,Transient
9.43546,80.3385,336.38,279.62,56.75999999999999,6.99,2.0781907597781832,0.66,8,5,241,1,1,6.99,6.99,Transient
9.49544,78.76971,340.22,281.45,58.77000000000004,4.96,1.7850704810772584,0.66,8,5,241,1,1,4.96,4.96,Transient
9.6286,78.5695,330.03,290.39,39.639999999999986,1.55,0.9360933591703349,0.66,8,5,241,2,1,1.55,1.55,Transient
9.63193,78.56899,332.81,289.55,43.25999999999999,1.55,0.9360933591703349,0.66,8,5,241,2,1,1.55,1.55,Transient
9.6353,80.29417,336.56,296.95,39.610000000000014,3.98,1.6054298910365616,0.66,8,5,241,1,1,3.98,3.98,Transient
9.69329,77.82059,338.36,305.19,33.170000000000016,5.11,1.809926773183504,0.66,8,5,241,2,2,6.52,7.93,Transient
9.76454,80.26393,334.94,295.08,39.860000000000014,1.66,0.9783261227936076,0.66,8,5,241,1,1,1.66,1.66,Transient
9.8565,78.18187,331.13,302.4,28.730000000000018,2.82,1.3402504226184837,0.33,8,5,241,2,2,6.11,9.4,Transient
9.96644,78.03188,340.46,301.39,39.06999999999999,3.67,1.541159071680806,0.66,8,5,241,1,1,3.67,3.67,Transient
9.98556,78.31762,342.21,309.43,32.77999999999997,6.83,2.057962510002712,0.66,8,5,241,1,1,6.83,6.83,Transient
10.40263,79.35952,336.63,304.48,32.14999999999998,3.41,1.4838746894587547,0.66,8,5,241,1,1,3.41,3.41,Transient
10.40814,79.51502,345.82,303.98,41.839999999999975,4.87,1.7698546338400052,0.66,8,5,241,1,1,4.87,4.87,Transient
10.51079,79.66752,337.73,302.68,35.05000000000001,6.97,2.075684492802124,0.66,8,5,241,1,1,6.97,6.97,Transient
10.52717,79.34861,335.93,305.39,30.54000000000002,2.96,1.3762440252663892,0.66,8,5,241,1,1,2.96,2.96,Transient
10.85161,78.75615,340.1,307.17,32.93000000000001,8.61,2.262804222982201,0.66,8,5,241,1,1,8.61,8.61,Transient
10.93597,78.47108,339.62,301.67,37.94999999999999,6.07,1.9558604799084813,0.66,8,5,241,3,1,4.41,6.07,Transient
10.93779,78.20586,337.13,302.71,34.420000000000016,4.0,1.6094379124341003,0.66,8,5,241,1,1,4.0,4.0,Transient
10.95573,78.87653,347.12,305.99,41.129999999999995,9.96,2.3942522815198695,0.66,8,5,241,1,1,9.96,9.96,Transient
10.98005,79.4278,332.11,293.0,39.110000000000014,2.61,1.2837077723447896,0.66,8,5,241,1,1,2.61,2.61,Transient
11.12129,78.68881,340.11,305.97,34.139999999999986,7.72,2.1656192379208883,0.66,8,5,241,1,1,7.72,7.72,Transient
11.38602,78.86941,337.84,306.96,30.879999999999995,3.92,1.5933085305042167,0.66,8,5,241,1,1,3.92,3.92,Transient
